Source,Target,Weight
US9765301-B2,WO2012168930-A3,1
US9771562-B2,WO2005097974-A3,1
US9856458-B2,EP2542663-B1,1
US10174289-B2,US8298822-B2,1
US10174289-B2,US8603809-B2,1
US10174289-B2,US9127254-B2,1
US10174289-B2,US9375514-B2,1
US10174289-B2,US9765301-B2,1
US10174289-B2,US9771562-B2,1
US10174289-B2,US9856458-B2,1
US10174289-B2,US9914920-B2,1
US10174289-B2,WO2013127921-A1,1
US10174289-B2,WO2013155060-A1,1
US10174289-B2,WO2014053596-A1,1
US10174289-B2,WO2016085765-A1,1
US10174289-B2,WO2016168950-A1,1
US10174289-B2,WO2003082201-A2,1
US11053477-B2,EP2393917-A2,1
US11053477-B2,EP2393917-B1,1
US11053477-B2,US7695958-B2,1
US11053477-B2,US8298822-B2,1
US11053477-B2,US8603809-B2,1
US11053477-B2,US9127254-B2,1
US11053477-B2,US9375514-B2,1
US11053477-B2,US9765301-B2,1
US11053477-B2,US9771562-B2,1
US11053477-B2,US9856458-B2,1
US11053477-B2,US9914920-B2,1
US11053477-B2,US10087416-B2,1
US11053477-B2,US10174289-B2,1
US11053477-B2,US10179176-B2,1
US11053477-B2,US10222370-B2,1
US11053477-B2,US10369254-B2,1
US11053477-B2,US10426757-B2,1
US11053477-B2,US10472612-B2,1
US11053477-B2,US10532111-B2,1
US11053477-B2,US10545133-B2,1
US11053477-B2,WO2013127921-A1,1
US11053477-B2,WO2013155060-A1,1
US11053477-B2,WO2014053596-A1,1
US11053477-B2,WO2016085765-A1,1
US11053477-B2,WO2016168950-A1,1
US11053477-B2,WO2018197544-A1,1
US11053477-B2,WO2003082201-A2,1
US11066650-B2,EP2393917-A2,1
US11066650-B2,EP2393917-B1,1
US11066650-B2,US7695958-B2,1
US11066650-B2,US8298822-B2,1
US11066650-B2,US8603809-B2,1
US11066650-B2,US9127254-B2,1
US11066650-B2,US9375514-B2,1
US11066650-B2,US9765301-B2,1
US11066650-B2,US9771562-B2,1
US11066650-B2,US9856458-B2,1
US11066650-B2,US9914920-B2,1
US11066650-B2,US10087416-B2,1
US11066650-B2,US10174289-B2,1
US11066650-B2,US10179176-B2,1
US11066650-B2,US10222370-B2,1
US11066650-B2,US10369254-B2,1
US11066650-B2,US10426757-B2,1
US11066650-B2,US10472612-B2,1
US11066650-B2,US10532111-B2,1
US11066650-B2,US10545133-B2,1
US11066650-B2,WO2013127921-A1,1
US11066650-B2,WO2013155060-A1,1
US11066650-B2,WO2014053596-A1,1
US11066650-B2,WO2016085765-A1,1
US11066650-B2,WO2016168950-A1,1
US11066650-B2,WO2018197544-A1,1
US11066650-B2,WO2003082201-A2,1
CN110249044-A,CN105358677-A,1
CN110381967-A,CN103237888-A,1
CN110381967-A,EP2393917-B1,1
CN109661460-A,CN103502426-A,1
CN109661460-A,CN105026552-A,1
CN109844098-A,CN108779437-A,1
CN108779437-A,CN108865972-A,1
CN109415680-A,CN103237888-A,1
CN109415680-A,CN104024401-A,1
CN109415680-A,CN105026552-A,1
CN109415680-A,CN105358677-A,1
CN109415680-A,CN105378062-A,1
CN109996870-A,CN104024401-A,1
CN109477070-A,CN103237888-A,1
US10597633-B2,WO2012014076-A3,1
US10694739-B2,US9986733-B2,1
US11725184-B2,CN103237888-A,1
US11725184-B2,EP3318627-A1,1
US11725184-B2,EP3441458-A1,1
US11725184-B2,US10597633-B2,1
CN104685048-A,CN102257124-A,1
US10006904-B2,US9765301-B2,1
US7468276-B2,US7255879-B2,1
US7468276-B2,US7311904-B2,1
US8100129-B2,US6309384-B1,1
US6649660-B2,US6414036-B1,1
US6712810-B2,US6309384-B1,1
US7842035-B2,US6309384-B1,1
US7842035-B2,US6712810-B2,1
WO2022134294-A1,CN104685048-A,1
CN110809625-A,CN104024401-A,1
CN110809625-A,CN105358677-A,1
CN111565798-A,CN106661548-A,1
CN111433351-A,CN105473706-A,1
